RussiaGate	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	FBI,Trump Aide,The Russian Government	JanKimbrough	na
nan	@DoctorPeterD @thehill We have seen what happens. Carter Page was unmasked (it's in the press) and all signs point toward the former administration. 1/2	@DoctorPeterD @thehill We have seen what happens. Carter Page was unmasked (it's in the press) and all signs point toward the former administration. 1/2	Carter Page	TespGames	na
nan	Warrant on Carter Page shows we no longer have smoke. We have extreme heat. Acting Atty General must appoint a SpecΓÇª	Warrant on Carter Page shows we no longer have smoke. We have extreme heat. Acting Atty General must appoint a SpecΓÇª	Carter Page,Atty General	MichaelCastner	na
funder	BREAKING: FBI obtained FISA warrant to monitor former Trump adviser Carter Page  by  via @c0nvey	BREAKING: FBI obtained FISA warrant to monitor former Trump adviser Carter Page  by  via @c0nvey	FBI,Trump,Carter Page	susan_dover	na
nan	"March 2016:

"	"March 2016:

"		ekcj1234	na
nan	@cnnbrk @Evan_McMullin Good Lord how many scandals can Trump  et al generate in a day? Carter Page FISA story and now this	@cnnbrk @Evan_McMullin Good Lord how many scandals can Trump  et al generate in a day? Carter Page FISA story and now this	Good Lord,Carter Page	GirlOnFireSally	na
trumprussia	Carter gets  fbi warrant	Carter gets  fbi warrant	Carter	lsfarmer311	na
nan	"Place you bets, I say @realDonaldTrump will be out of office in next 12 months And @mike_pence needs to follow him too  ""Carter Page"""	"Place you bets, I say @realDonaldTrump will be out of office in next 12 months And @mike_pence needs to follow him too  ""Carter Page"""	office,Carter Page	Itsafairday	na
Trumprussia, TrumpRussiaCollusion, russiagate	"  
 I remember his shit eating grin when Chris Hayes was interviewing him on"	"  
 I remember his shit eating grin when Chris Hayes was interviewing him on"	Chris Hayes	RWTrollPatrol	na
nan	Almost a year later the Carter Page FISA news drops and this is BIG news? (Sarcasm) Dems working overtime to blow it up!	Almost a year later the Carter Page FISA news drops and this is BIG news? (Sarcasm) Dems working overtime to blow it up!	Carter Page,Dems	TheLabeler5000	na
TrumpRussia	One of the two presidential candidates was under FBI investigation on Election Day, & it wasnt Hillary Clinton.  Carter Page	One of the two presidential candidates was under FBI investigation on Election Day, & it wasnt Hillary Clinton.  Carter Page	Election Day,Hillary Clinton,Carter Page	PunchTrumpUS	na
nan	@FBI BUT WENT AFTER HRC, NOW WE HAVE A LUNATIC IN THE WHITE HOUSE AND U HAVE BIG RESPONSIBILITY FOR THIS	@FBI BUT WENT AFTER HRC, NOW WE HAVE A LUNATIC IN THE WHITE HOUSE AND U HAVE BIG RESPONSIBILITY FOR THIS	WHITE HOUSE	PamBattistella	na
nan	FBI obtained FISA warrant to monitor former Trump adviser Carter Page makes Comey's subsequent actions all the more unfathomable.	FBI obtained FISA warrant to monitor former Trump adviser Carter Page makes Comey's subsequent actions all the more unfathomable.	FBI,Trump,Carter Page	PunchTrumpUS	na
Russian	"Carter Page, Former Trump Adviser, Monitored Last Summer By FBI Over  Contacts
"	"Carter Page, Former Trump Adviser, Monitored Last Summer By FBI Over  Contacts
"	Carter Page,FBI	livechannelfeed	na
nan	this one is a real page turner	this one is a real page turner		IamConiglio	na
trumpRussia	@SenateGOP @washingtonpost  featured in a different WAPO article	@SenateGOP @washingtonpost  featured in a different WAPO article		Ban_Pres_Bannon	na
nan	News of FISA Warrant against Carter Page, continuing silence on Flynn, fits inference they've nailed Trump. From 4/4	News of FISA Warrant against Carter Page, continuing silence on Flynn, fits inference they've nailed Trump. From 4/4	Carter Page,Flynn,Trump	KeithOlbermann	na
nan	The Obama administration used the national security intelligence apparatus against its political enemies, because the IRS wasn't enough.	The Obama administration used the national security intelligence apparatus against its political enemies, because the IRS wasn't enough.		lheal	na
nan	United Airlines thanks Carter Page, Devin Nunes and most importantly Sean Spicer	United Airlines thanks Carter Page, Devin Nunes and most importantly Sean Spicer	United Airlines,Carter Page,Devin Nunes,Sean Spicer	sabrinasingh24	na
nan	I know you are not trying to say Trump was right about illegal wiretapping by PBO. Worst spin of a legal FISA warrant by FBI.... ever.	I know you are not trying to say Trump was right about illegal wiretapping by PBO. Worst spin of a legal FISA warrant by FBI.... ever.	Trump,PBO,FBI	upsnodowns	na
nan	But her eemmmaaaaiiiiiiiiilllllllllllsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss	But her eemmmaaaaiiiiiiiiilllllllllllsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss		RSWestmoreland	na
nan	TRUMPLAND TODAY Sean Spicer says Hitler didn't gas anyone. Carter Page says FBI surveillance of him is like spying on Martin Luther King	TRUMPLAND TODAY Sean Spicer says Hitler didn't gas anyone. Carter Page says FBI surveillance of him is like spying on Martin Luther King	Sean Spicer,Hitler,Carter Page,FBI,Martin Luther	joesentme	na
nan	NOT breaking- (to those of us paying attention ) thanks to @LouiseMensch	NOT breaking- (to those of us paying attention ) thanks to @LouiseMensch		sahmiya_says_GO	na
nan	"But those @HillaryClinton emails........(looking for ""head exploding"" emoji)"	"But those @HillaryClinton emails........(looking for ""head exploding"" emoji)"		Aiims1742	na
nan	"I created this Tease for ""carter page"" using T. Go to  to create & share a Tease for any topic."	"I created this Tease for ""carter page"" using T. Go to  to create & share a Tease for any topic."	carter page	TipTop_News	na
nan	It's like they don't get that what's been confirmed here is that there is major evidence of collusion.	It's like they don't get that what's been confirmed here is that there is major evidence of collusion.		IsobelCarr	na
nan	Will someone tell the MSM? Oh yeah, they already know.	Will someone tell the MSM? Oh yeah, they already know.		RedStateRule	na
nan	The FBI obtained a warrant to monitor former Trump adviser Carter Page.	The FBI obtained a warrant to monitor former Trump adviser Carter Page.	FBI,Trump,Carter Page	BostonGlobe	na
nan	@matt_rawlik here's those FISA's we were talking about	@matt_rawlik here's those FISA's we were talking about		ARaw45	na
nan	@AAANYC1 @M2324M @THXOne138 @cnnbrk Maybe you prefer the word of @Sebastiangorka, or Carter Page, Manafort, or Tillerson. Nothing to see comrade.	@AAANYC1 @M2324M @THXOne138 @cnnbrk Maybe you prefer the word of @Sebastiangorka, or Carter Page, Manafort, or Tillerson. Nothing to see comrade.	Carter Page	MssAnthrope	na
nan	@ResistanceParty Oh is this the oil industry consultant Carter Page?? & Who pray tell recommended him??	@ResistanceParty Oh is this the oil industry consultant Carter Page?? & Who pray tell recommended him??	Carter Page	AssHrdRndWorld	na
SDLive	"Washington Post app download 

  Carter Page"	"Washington Post app download 

  Carter Page"	Washington Post	googleplay_aps	na
nan	CEO of Russia Oil offered Trump adviser he felt deal to get US sanctions lifted:	CEO of Russia Oil offered Trump adviser he felt deal to get US sanctions lifted:	Russia,Trump	JC12Tx	na
nan	"So...either Trump was duped or was complicit

"	"So...either Trump was duped or was complicit

"	Trump	SC_Ropp	na
nan	quel surprise!    FBI obtained FISA warrant to monitor former Trump adviser Carter Page	quel surprise!    FBI obtained FISA warrant to monitor former Trump adviser Carter Page	FBI,Trump,Carter Page	pattirmuller	na
nan	Why didnt FBI annouce that investigation	Why didnt FBI annouce that investigation		razzberry1947	na
nan	This may be awkward....	This may be awkward....		LetsTrekSpain	na
inners	"Relieved that Trump only surrounds himself with the best people-the best people with Russian ties: Carter Page,Flynn,Manafort...
"	"Relieved that Trump only surrounds himself with the best people-the best people with Russian ties: Carter Page,Flynn,Manafort...
"	Trump,Russian,Carter Page,Flynn,Manafort	ChiOneToo	na
Trumprussia, russiagate	Carter Page under investigation for suspicious Russian ties	Carter Page under investigation for suspicious Russian ties	Carter Page,suspicious Russian	lfbensimon	na
nan	So the second domino falls - who gets the best deal??? Hope they took his passport	So the second domino falls - who gets the best deal??? Hope they took his passport		jprah1	na
russiagate	"Think @maddow will be telling the ""Carter Page to Russia with Love"" story tonight?"	"Think @maddow will be telling the ""Carter Page to Russia with Love"" story tonight?"	Carter Page,Russia with Love	Storeees	na
nan	@realDonaldTrump Yep, Carter Page was being survield. FISA warrent issued, you asked Russia to find 30K @HillaryClinton emails hose coming	@realDonaldTrump Yep, Carter Page was being survield. FISA warrent issued, you asked Russia to find 30K @HillaryClinton emails hose coming	Carter Page,Russia	EHines44	na
nan	The FBI don't drop a dime until its time.	The FBI don't drop a dime until its time.		ScamGoggles	na
bfd	A freaking .	A freaking .		rachelvalentine	na
nan	@washingtonpost Carter Page is despicable.	@washingtonpost Carter Page is despicable.	Carter Page	Lorrenitram	na
nan	Our incompetent lazy MSM is always late to the party  @LouiseMensch @MelissaJPeltier @RVAwonk	Our incompetent lazy MSM is always late to the party  @LouiseMensch @MelissaJPeltier @RVAwonk	MSM	Ralfoo7	na
nan	@AAANYC1 @M2324M @THXOne138 @cnnbrk Like this, you mean?	@AAANYC1 @M2324M @THXOne138 @cnnbrk Like this, you mean?		PhysicalPolitik	na
nan	Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser	Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser	Carter Page	FoxNews	na
CarterPage	.@KeithOlbermann - In one of vids he said to keep an eye on . Good call!	.@KeithOlbermann - In one of vids he said to keep an eye on . Good call!		DinoRamirez72	na
nan	This is like the Warriors claiming they won back to back championships...	This is like the Warriors claiming they won back to back championships...	the Warriors	FrankChow	na
CarterPage, TrumpRussia	Recruited as a spy by Russia, foreign policy advisor  being investigated as part of  case.	Recruited as a spy by Russia, foreign policy advisor  being investigated as part of  case.	Russia	McSaddle	na
nan	I will not spend the night reading about Trump I will not spend the night reading about Trump I will not spend the night reading about Trump	I will not spend the night reading about Trump I will not spend the night reading about Trump I will not spend the night reading about Trump	Trump,Trump	moonlighthalo	na
nan	& for those Breitbarters thinking this is proof of untoward surveillance?If there's a finding that Page WAS a foreign agent, Trump is toast	& for those Breitbarters thinking this is proof of untoward surveillance?If there's a finding that Page WAS a foreign agent, Trump is toast	Trump	tummler10	na
Trump	FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post. Fish Rots from	FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post. Fish Rots from	FBI,Trump,Carter Page,The Washington Post	MorrisonRP	na
nan	@USARedOrchestra  Yes, and just a few weeks ago DJT was tripping over himself distancing from Carter Page. Now we know why.	@USARedOrchestra  Yes, and just a few weeks ago DJT was tripping over himself distancing from Carter Page. Now we know why.	Carter Page	sonjastahlhut	na
nan	trump is now original classifying authority right & can just unilaterally declassify anything he wants. carter page	trump is now original classifying authority right & can just unilaterally declassify anything he wants. carter page	trump,carter page	nvrqt	na
nan	AND then there is this... Proof that Susan Rice had every legal right to unmask names under Obama's term & we owe them TY for protecting USA	AND then there is this... Proof that Susan Rice had every legal right to unmask names under Obama's term & we owe them TY for protecting USA	Susan Rice,Obama,USA	chelsea_craft	na
SDLive, OffendEveryoneIn4Words, BGC17	"Top 5:
1: Sean Spicer
2:  +9
3: Carter Page -1
4: 
5:  +6"	"Top 5:
1: Sean Spicer
2:  +9
3: Carter Page -1
4: 
5:  +6"	Sean Spicer2,Carter Page	Trends5USA	na
nan	Also, WaPo reporting on a FISA warrant last year that's now part of the Russia investigation:	Also, WaPo reporting on a FISA warrant last year that's now part of the Russia investigation:	WaPo,Russia	RamCNN	na
nan	And now here's something you'll really enjoy!	And now here's something you'll really enjoy!		rongiordan	na
nan	"WP report that FISA court believed Carter Page was acting as Foreign Agent of the Russians,""an operative posing as a diplomat"""	"WP report that FISA court believed Carter Page was acting as Foreign Agent of the Russians,""an operative posing as a diplomat"""	Carter Page	foreignpolicy77	na
SDLive, BGC17, TheFosters	Russia Warns Of Serious Consequences From U.S. Strike In Syria  Sean Spicer  Carter Page	Russia Warns Of Serious Consequences From U.S. Strike In Syria  Sean Spicer  Carter Page	Russia,U.S. Strike,Syria Sean Spicer Carter	Officialoscrape	na
nan	WashPo: Judge approved FBI request to monitor Trump aide Carter Page	WashPo: Judge approved FBI request to monitor Trump aide Carter Page	Trump,Carter Page	wvjoe911	na
nan	FBI showed probable cause that Trump associate Carter Page was acting as an agent of foreign power, Russia.	FBI showed probable cause that Trump associate Carter Page was acting as an agent of foreign power, Russia.	Trump,Carter Page,Russia	4free_Ukraine	na
